Round,Home Team,Home Team Score,Away Team,Away Team Score
1,Port Adelaide,158,Essendon,62
2,West Coast,115,Port Adelaide,118
3,Port Adelaide,171,Hawthorn,90
4,Melbourne,124,Port Adelaide,71
5,Port Adelaide,119,Western Bulldogs,64
6,Port Adelaide,101,Collingwood,84
7,Port Adelaide,87,Adelaide,119
8,North,140,Port Adelaide,48
9,Port Adelaide,128,Richmond,50
10,Port Adelaide,116,Geelong,112
11,Brisbane,123,Port Adelaide,86
12,Port Adelaide,132,Sydney,60
13,Fremantle,102,Port Adelaide,112
14,St.Kilda,47,Port Adelaide,93
15,Port Adelaide,123,Carlton,40
16,Hawthorn,53,Port Adelaide,105
17,Port Adelaide,102,West Coast,76
18,Essendon,119,Port Adelaide,79
19,Port Adelaide,125,Melbourne,52
20,Western Bulldogs,61,Port Adelaide,147
21,Collingwood,70,Port Adelaide,107
22,Adelaide,60,Port Adelaide,85
